Scooter|McLaughlin|3|2|8|11|16|6|16|3|19|5|7|16|4|7|8
Scooter|Power|26|22|16|3|12|19|13|29|22|8|3|6|20|3|3
Scooter|VeeKay|76|9|22|14|14|13|15|6|12|4|18|4|12|4|7
Mark|O'Ward|5|5|4|5|17|5|18|4|4|11|12|1|7|11|5
Mark|Ferruci|14|24|11|17|8|18|14|8|23|13|9|19|13|21|10
Mark|Rasmussen|21|19|14|25|19|15|24|27|25|3|25|7|22|24|23
Evan|Kirkwood|27|4|2|1|5|4|9|16|2|6|10|3|10|5|21
Evan|Malukas|12|13|3|6|4|7|2|2|18|7|2|8|3|12|17
Evan|Lundgard|7|3|13|7|2|20|1|17|5|10|1|2|16|9|6
Jake|Palou|10|1|24|2|1|1|5|7|1|17|5|5|1|1|4
Jake|Newgarden|2|7|1|15|10|14|4|28|10|1|22|9|2|8|13
Jake|Armstrong|66|11|5|10|6|24|11|5|11|9|24|14|24|25|16
